raw,monotone,lisse,reciproque,verif
-3.14,-3.141593,-3.141593,-3.140000,-3.141497
-3.106932878,-3.037288,-3.037288,-3.106933,-3.139509
-3.094144582,-3.032869,-3.032869,-3.094145,-3.138740
-3.073224306,-3.028299,-3.028299,-3.073224,-3.137482
-3.059829473,-3.023610,-3.023610,-3.059829,-3.136677
-3.050131797,-3.018871,-3.018871,-3.050132,-3.136094
-3.036664247,-3.014104,-3.014104,-3.036664,-3.132952
-3.022835969,-3.009333,-3.009333,-3.022836,-3.115626
-3.020600557,-3.004543,-3.004543,-3.020601,-3.112665
-3.007529497,-2.999752,-2.999752,-3.007529,-3.095468
-2.993293762,-2.987223,-2.987223,-2.993294,-3.081939
-2.963877439,-2.978760,-2.978760,-2.963877,-3.061758
-2.9709661,-2.970274,-2.970274,-2.970966,-3.066916
-2.955864191,-2.961632,-2.961632,-2.955864,-3.055987
-2.948041915,-2.952885,-2.952885,-2.948042,-3.050432
-2.937091588,-2.944001,-2.944001,-2.937092,-3.042783
-2.940361976,-2.934973,-2.934973,-2.940362,-3.045049
-2.912808418,-2.925741,-2.925741,-2.912808,-3.026413
-2.925231933,-2.916378,-2.916378,-2.925232,-3.034702
-2.894301652,-2.906826,-2.906826,-2.894302,-3.013979
-2.89409995,-2.897564,-2.897564,-2.894100,-3.013841
-2.888868331,-2.888444,-2.888444,-2.888868,-3.010232
-2.868140935,-2.879502,-2.879502,-2.868141,-2.995504
-2.867282867,-2.870755,-2.870755,-2.867283,-2.994878
-2.861310005,-2.862186,-2.862186,-2.861310,-2.990488
-2.854580402,-2.853757,-2.853757,-2.854580,-2.985489
-2.835005044,-2.845441,-2.845441,-2.835005,-2.970556
-2.837845325,-2.837293,-2.837293,-2.837845,-2.972762
-2.818449497,-2.829276,-2.829276,-2.818449,-2.957375
-2.816186666,-2.821448,-2.821448,-2.816187,-2.955526
-2.81114149,-2.813772,-2.813772,-2.811141,-2.951384
-2.802624464,-2.806165,-2.806165,-2.802624,-2.944311
-2.801970481,-2.798704,-2.798704,-2.801970,-2.943765
-2.787951707,-2.791351,-2.791351,-2.787952,-2.931807
-2.775239944,-2.784122,-2.784122,-2.775240,-2.920614
-2.773319959,-2.777026,-2.777026,-2.773320,-2.918880
-2.753725767,-2.770088,-2.770088,-2.753726,-2.900593
-2.769213914,-2.763329,-2.763329,-2.769214,-2.915143
-2.75311923,-2.756690,-2.756690,-2.753119,-2.900015
-2.732795476,-2.750141,-2.750141,-2.732795,-2.879962
-2.747586011,-2.743780,-2.743780,-2.747586,-2.894642
-2.73342204,-2.737449,-2.737449,-2.733422,-2.880589
-2.738945007,-2.731220,-2.731220,-2.738945,-2.886121
-2.723275899,-2.725059,-2.725059,-2.723276,-2.870255
-2.713169097,-2.719003,-2.719003,-2.713169,-2.859683
-2.707926988,-2.713066,-2.713066,-2.707927,-2.854073
-2.702346324,-2.707226,-2.707226,-2.702346,-2.847991
-2.697443962,-2.701492,-2.701492,-2.697444,-2.842576
-2.694044351,-2.695837,-2.695837,-2.694044,-2.838804
-2.683432102,-2.690184,-2.690184,-2.683432,-2.826890
-2.686712265,-2.684640,-2.684640,-2.686712,-2.830605
-2.687518835,-2.679123,-2.679123,-2.687519,-2.831519
-2.672225713,-2.673621,-2.673621,-2.672226,-2.814103
-2.661442995,-2.668197,-2.668197,-2.661443,-2.801613
-2.663547277,-2.662788,-2.662788,-2.663547,-2.804075
-2.659067153,-2.657440,-2.657440,-2.659067,-2.798834
-2.656694889,-2.652122,-2.652122,-2.656695,-2.796053
-2.644260406,-2.646859,-2.646859,-2.644260,-2.781270
-2.639230489,-2.641675,-2.641675,-2.639230,-2.775242
-2.617141008,-2.636378,-2.636378,-2.617141,-2.748291
-2.635925054,-2.631251,-2.631251,-2.635925,-2.771259
-2.634876251,-2.626090,-2.626090,-2.634876,-2.769993
-2.623304843,-2.620994,-2.620994,-2.623305,-2.755901
-2.614413499,-2.615954,-2.615954,-2.614413,-2.744911
-2.616098165,-2.610856,-2.610856,-2.616098,-2.746999
-2.605084896,-2.605809,-2.605809,-2.605085,-2.733358
-2.604698181,-2.600768,-2.600768,-2.604698,-2.732877
-2.57297635,-2.595779,-2.595779,-2.572976,-2.691236
-2.594923257,-2.591002,-2.591002,-2.594923,-2.720608
-2.580757617,-2.586207,-2.586207,-2.580758,-2.701884
-2.578275442,-2.581546,-2.581546,-2.578275,-2.698502
-2.584419012,-2.576943,-2.576943,-2.584419,-2.706790
-2.553647279,-2.572401,-2.572401,-2.553647,-2.664213
-2.575307369,-2.567859,-2.567859,-2.575307,-2.694454
-2.575217723,-2.563353,-2.563353,-2.575218,-2.694330
-2.564231395,-2.558880,-2.558880,-2.564231,-2.679125
-2.563995122,-2.554454,-2.554454,-2.563995,-2.678797
-2.504829645,-2.550073,-2.550073,-2.504830,-2.583539
-2.548213481,-2.546044,-2.546044,-2.548213,-2.656230
-2.525880575,-2.541982,-2.541982,-2.525881,-2.620813
-2.554079532,-2.538047,-2.538047,-2.554080,-2.664829
-2.543842554,-2.534035,-2.534035,-2.543843,-2.649508
-2.494984865,-2.530105,-2.530105,-2.494985,-2.564592
-2.542192697,-2.526358,-2.526358,-2.542193,-2.646915
-2.510387659,-2.522660,-2.522660,-2.510388,-2.593699
-2.530483484,-2.519133,-2.519133,-2.530483,-2.628410
-2.528259277,-2.515560,-2.515560,-2.528259,-2.624739
-2.500405311,-2.511968,-2.511968,-2.500405,-2.575234
-2.522892236,-2.508533,-2.508533,-2.522892,-2.615682
-2.490035057,-2.505103,-2.505103,-2.490035,-2.554418
-2.518416643,-2.501800,-2.501800,-2.518417,-2.607902
-2.446115016,-2.498492,-2.498492,-2.446115,-2.456346
-2.499866724,-2.495344,-2.495344,-2.499867,-2.574205
-2.5035398,-2.492312,-2.492312,-2.503540,-2.581118
-2.488335132,-2.489288,-2.489288,-2.488335,-2.550877
-2.500403404,-2.486354,-2.486354,-2.500403,-2.575231
-2.497302532,-2.483384,-2.483384,-2.497303,-2.569156
-2.467532634,-2.480315,-2.480315,-2.467533,-2.505192
-2.461222648,-2.477369,-2.477369,-2.461223,-2.490042
-2.446034908,-2.474561,-2.474561,-2.446035,-2.456174
-2.493578195,-2.471935,-2.471935,-2.493578,-2.561800
-2.442062616,-2.469210,-2.469210,-2.442063,-2.447438
-2.485655784,-2.466633,-2.466633,-2.485656,-2.545260
-2.477330684,-2.464040,-2.464040,-2.477331,-2.527623
-2.439927577,-2.461376,-2.461376,-2.439928,-2.442541
-2.476336956,-2.458862,-2.458862,-2.476337,-2.525499
-2.462722301,-2.455974,-2.455974,-2.462722,-2.493588
-2.467176437,-2.453136,-2.453136,-2.467176,-2.504333
-2.447429418,-2.450225,-2.450225,-2.447429,-2.459170
-2.450314998,-2.447283,-2.447283,-2.450315,-2.465387
-2.396604061,-2.444374,-2.444374,-2.396604,-2.330827
-2.466391563,-2.441603,-2.441603,-2.466392,-2.502440
-2.434626579,-2.438873,-2.438873,-2.434627,-2.430171
-2.444657087,-2.436220,-2.436220,-2.444657,-2.453215
-2.424124956,-2.433506,-2.433506,-2.424125,-2.404864
-2.454220771,-2.430979,-2.430979,-2.454221,-2.473906
-2.430949926,-2.428406,-2.428406,-2.430950,-2.421433
-2.446554422,-2.425803,-2.425803,-2.446554,-2.457290
-2.403321504,-2.423153,-2.423153,-2.403322,-2.350960
-2.408125162,-2.420612,-2.420612,-2.408125,-2.364568
-2.449012279,-2.418260,-2.418260,-2.449012,-2.462570
-2.416914939,-2.415681,-2.415681,-2.416915,-2.386984
-2.418359994,-2.413120,-2.413120,-2.418360,-2.390549
-2.403432369,-2.410534,-2.410534,-2.403432,-2.351294
-2.289466142,-2.408050,-2.408050,-2.289466,-2.013467
-2.443168401,-2.406080,-2.406080,-2.443168,-2.449974
-2.384785413,-2.403895,-2.403895,-2.384785,-2.297075
-2.394055843,-2.401856,-2.401856,-2.394056,-2.323233
-2.394110441,-2.399815,-2.399815,-2.394110,-2.323395
-2.420614957,-2.397850,-2.397850,-2.420615,-2.396149
-2.423934698,-2.395814,-2.395814,-2.423935,-2.404392
-2.393559932,-2.393439,-2.393439,-2.393560,-2.321755
-2.378677606,-2.391179,-2.391179,-2.378678,-2.280761
-2.41567254,-2.389084,-2.389084,-2.415673,-2.383920
-2.394103527,-2.386763,-2.386763,-2.394104,-2.323375
-2.383975028,-2.384607,-2.384607,-2.383975,-2.294843
-2.414732694,-2.382291,-2.382291,-2.414733,-2.381602
-2.400128841,-2.379853,-2.379853,-2.400129,-2.341351
-2.390718221,-2.377278,-2.377278,-2.390718,-2.313673
-2.367047309,-2.374751,-2.374751,-2.367047,-2.251765
-2.361570596,-2.372224,-2.372224,-2.361571,-2.237786
-2.350655794,-2.369664,-2.369664,-2.350656,-2.209238
-2.416693449,-2.367291,-2.367291,-2.416693,-2.386438
-2.274880886,-2.364800,-2.364800,-2.274881,-1.965583
-2.346154212,-2.362312,-2.362312,-2.346154,-2.198749
-2.355188608,-2.360092,-2.360092,-2.355189,-2.220262
-2.339792251,-2.357897,-2.357897,-2.339792,-2.184372
-2.365639925,-2.355450,-2.355450,-2.365640,-2.248180
-2.394501924,-2.353083,-2.353083,-2.394502,-2.324562
-2.283631563,-2.350255,-2.350255,-2.283632,-1.990519
-2.402616024,-2.347662,-2.347662,-2.402616,-2.348837
-2.363519906,-2.344846,-2.344846,-2.363520,-2.242779
-2.325544357,-2.341909,-2.341909,-2.325544,-2.149548
