raw,monotone,lisse,reciproque,verif
-3.14,-3.141593,-3.141593,-3.140000,-3.141508
-3.094171047,-3.023809,-3.023809,-3.094171,-3.139068
-3.068165302,-3.019184,-3.019184,-3.068165,-3.137683
-3.065248727,-3.014462,-3.014462,-3.065249,-3.137528
-3.054501771,-3.009636,-3.009636,-3.054502,-3.136956
-3.022096157,-3.004775,-3.004775,-3.022096,-3.133150
-3.023544311,-2.999931,-2.999931,-3.023544,-3.133707
-3.008262395,-2.995078,-2.995078,-3.008262,-3.114883
-2.992276191,-2.990233,-2.990233,-2.992276,-3.094217
-2.99679327,-2.985413,-2.985413,-2.996793,-3.100061
-2.974244117,-2.972111,-2.972111,-2.974244,-3.079882
-2.95079708,-2.963674,-2.963674,-2.950797,-3.063207
-2.963247537,-2.955217,-2.955217,-2.963248,-3.072365
-2.93922615,-2.946551,-2.946551,-2.939226,-3.054930
-2.940238237,-2.937737,-2.937737,-2.940238,-3.055641
-2.92134571,-2.928724,-2.928724,-2.921346,-3.042519
-2.912189245,-2.919593,-2.919593,-2.912189,-3.036311
-2.903134346,-2.910318,-2.910318,-2.903134,-3.030238
-2.897171497,-2.900938,-2.900938,-2.897171,-3.026291
-2.882621765,-2.891410,-2.891410,-2.882622,-3.016514
-2.882784843,-2.882194,-2.882194,-2.882785,-3.016627
-2.86839652,-2.873112,-2.873112,-2.868397,-3.006648
-2.858176708,-2.864203,-2.864203,-2.858177,-2.999366
-2.861101388,-2.855481,-2.855481,-2.861101,-3.001465
-2.842591047,-2.846889,-2.846889,-2.842591,-2.987990
-2.836558341,-2.838401,-2.838401,-2.836558,-2.983501
-2.826632022,-2.830067,-2.830067,-2.826632,-2.976001
-2.817269802,-2.821875,-2.821875,-2.817270,-2.968774
-2.810379505,-2.813835,-2.813835,-2.810380,-2.963347
-2.799418449,-2.805950,-2.805950,-2.799418,-2.954524
-2.801932334,-2.798240,-2.798240,-2.801932,-2.956568
-2.787124872,-2.790521,-2.790521,-2.787125,-2.944488
-2.765890836,-2.782946,-2.782946,-2.765891,-2.926321
-2.766735315,-2.775569,-2.775569,-2.766735,-2.927062
-2.766435384,-2.768358,-2.768358,-2.766435,-2.926799
-2.751797199,-2.761254,-2.761254,-2.751797,-2.913710
-2.758360385,-2.754292,-2.754292,-2.758360,-2.919633
-2.742813348,-2.747387,-2.747387,-2.742813,-2.905488
-2.737894535,-2.740582,-2.740582,-2.737895,-2.900918
-2.719929695,-2.733910,-2.733910,-2.719930,-2.883695
-2.730847358,-2.727419,-2.727419,-2.730847,-2.894229
-2.718578577,-2.720906,-2.720906,-2.718579,-2.882368
-2.714976072,-2.714517,-2.714517,-2.714976,-2.878830
-2.700273752,-2.708222,-2.708222,-2.700274,-2.864034
-2.705447196,-2.702049,-2.702049,-2.705447,-2.869306
-2.696014881,-2.695953,-2.695953,-2.696015,-2.859649
-2.697061061,-2.689929,-2.689929,-2.697061,-2.860727
-2.680272579,-2.683919,-2.683919,-2.680273,-2.843199
-2.68742156,-2.678005,-2.678005,-2.687422,-2.850707
-2.650059223,-2.672076,-2.672076,-2.650059,-2.810013
-2.663060665,-2.666352,-2.666352,-2.663061,-2.824591
-2.663642644,-2.660762,-2.660762,-2.663643,-2.825241
-2.653696537,-2.655138,-2.655138,-2.653697,-2.814105
-2.649692058,-2.649573,-2.649573,-2.649692,-2.809597
-2.642916917,-2.644055,-2.644055,-2.642917,-2.801890
-2.633918046,-2.638609,-2.638609,-2.633918,-2.791450
-2.624695062,-2.633252,-2.633252,-2.624695,-2.780510
-2.641351699,-2.627992,-2.627992,-2.641352,-2.800092
-2.622193574,-2.622702,-2.622702,-2.622194,-2.777545
-2.585325241,-2.617413,-2.617413,-2.585325,-2.731688
-2.624008417,-2.612366,-2.612366,-2.624008,-2.779696
-2.602686405,-2.607248,-2.607248,-2.602686,-2.753655
-2.601745843,-2.602239,-2.602239,-2.601746,-2.752477
-2.602355718,-2.597251,-2.597251,-2.602356,-2.753241
-2.591421604,-2.592259,-2.592259,-2.591422,-2.739482
-2.581657409,-2.587330,-2.587330,-2.581657,-2.726940
-2.585019111,-2.582505,-2.582505,-2.585019,-2.731292
-2.569989919,-2.577694,-2.577694,-2.569990,-2.711483
-2.572267055,-2.572986,-2.572986,-2.572267,-2.714536
-2.587289571,-2.568337,-2.568337,-2.587290,-2.734230
-2.548999786,-2.563617,-2.563617,-2.549000,-2.683169
-2.562128305,-2.558981,-2.558981,-2.562128,-2.700976
-2.549980878,-2.554378,-2.554378,-2.549981,-2.684488
-2.559885978,-2.549760,-2.549760,-2.559886,-2.697937
-2.541531801,-2.545077,-2.545077,-2.541532,-2.673092
-2.541855812,-2.540470,-2.540470,-2.541856,-2.673532
-2.533704519,-2.535848,-2.535848,-2.533705,-2.662376
-2.525125503,-2.531343,-2.531343,-2.525126,-2.650378
-2.526771783,-2.526897,-2.526897,-2.526772,-2.652693
-2.504126071,-2.522404,-2.522404,-2.504126,-2.620738
-2.52957344,-2.518056,-2.518056,-2.529573,-2.656631
-2.510789394,-2.513506,-2.513506,-2.510789,-2.630209
-2.497904062,-2.509049,-2.509049,-2.497904,-2.611799
-2.509749412,-2.504672,-2.504672,-2.509749,-2.628737
-2.503633499,-2.500301,-2.500301,-2.503633,-2.620031
-2.49457693,-2.495931,-2.495931,-2.494577,-2.607000
-2.490151405,-2.491652,-2.491652,-2.490151,-2.600481
-2.515462875,-2.487447,-2.487447,-2.515463,-2.636765
-2.486078262,-2.483091,-2.483091,-2.486078,-2.594494
-2.464705944,-2.478817,-2.478817,-2.464706,-2.562629
-2.482225179,-2.474618,-2.474618,-2.482225,-2.588905
-2.445076227,-2.470377,-2.470377,-2.445076,-2.531759
-2.453387022,-2.466248,-2.466248,-2.453387,-2.544862
-2.476518392,-2.462340,-2.462340,-2.476518,-2.580485
-2.45359373,-2.458328,-2.458328,-2.453594,-2.545187
-2.468083858,-2.454359,-2.454359,-2.468084,-2.567908
-2.449572324,-2.450353,-2.450353,-2.449572,-2.538868
-2.451427698,-2.446385,-2.446385,-2.451428,-2.541784
-2.436435222,-2.442425,-2.442425,-2.436435,-2.517679
-2.383500576,-2.438589,-2.438589,-2.383501,-2.434276
-2.453345775,-2.434978,-2.434978,-2.453346,-2.544797
-2.422422885,-2.431270,-2.431270,-2.422423,-2.493297
-2.429980039,-2.427669,-2.427669,-2.429980,-2.506591
-2.426170825,-2.424137,-2.424137,-2.426171,-2.499920
-2.437229394,-2.420677,-2.420677,-2.437229,-2.519034
-2.43669939,-2.417008,-2.417008,-2.436699,-2.518132
-2.404310703,-2.412445,-2.412445,-2.404311,-2.465444
-2.414359807,-2.408170,-2.408170,-2.414360,-2.480127
-2.407741785,-2.403832,-2.403832,-2.407742,-2.470428
-2.386889219,-2.399499,-2.399499,-2.386889,-2.439531
-2.380554676,-2.395309,-2.395309,-2.380555,-2.429705
-2.426898479,-2.391218,-2.391218,-2.426898,-2.501194
-2.373944282,-2.387005,-2.387005,-2.373944,-2.419113
-2.380592346,-2.382993,-2.382993,-2.380592,-2.429764
-2.389333724,-2.378937,-2.378937,-2.389334,-2.443216
-2.387841939,-2.375100,-2.375100,-2.387842,-2.440967
-2.378770112,-2.371260,-2.371260,-2.378770,-2.426849
-2.413432121,-2.367439,-2.367439,-2.413432,-2.478753
-2.318837642,-2.363530,-2.363530,-2.318838,-2.317480
-2.361037969,-2.359801,-2.359801,-2.361038,-2.398011
-2.385242938,-2.356214,-2.356214,-2.385243,-2.436979
-2.375112295,-2.352578,-2.352578,-2.375112,-2.420994
-2.375065088,-2.348929,-2.348929,-2.375065,-2.420918
-2.304065704,-2.345133,-2.345133,-2.304066,-2.288141
